Município,Casos de Tuberculose
432235 União da Serra,1
432240 Uruguaiana,64
432250 Vacaria,26
432253 Vale do Sol,1
432254 Vale Real,1
432252 Vale Verde,1
432260 Venâncio Aires,36
432270 Vera Cruz,2
432280 Veranópolis,4
432290 Viadutos,1
432300 Viamão,135
432335 Vila Lângaro,1
432380 Xangri-lá,12
500020 Água Clara,3
500025 Alcinópolis,5
500060 Amambai,37
500070 Anastácio,9
500080 Anaurilândia,1
500085 Angélica,4
500090 Antônio João,1
500100 Aparecida do Taboado,3
500110 Aquidauana,18
500124 Aral Moreira,4
500150 Bandeirantes,3
500190 Bataguassu,3
500210 Bela Vista,5
500220 Bonito,9
500230 Brasilândia,3
500240 Caarapó,11
500270 Campo Grande,450
500280 Caracol,1
500290 Cassilândia,1
500295 Chapadão do Sul,1
500315 Coronel Sapucaia,9
500320 Corumbá,70
500325 Costa Rica,3
500330 Coxim,8
500345 Deodápolis,1
500348 Dois Irmãos do Buriti,3
500370 Dourados,156
500375 Eldorado,6
500380 Fátima do Sul,9
500390 Figueirão,1
500400 Glória de Dourados,3
500410 Guia Lopes da Laguna,3
500430 Iguatemi,7
500440 Inocência,2
500450 Itaporã,6
500460 Itaquiraí,3
500470 Ivinhema,7
500480 Japorã,5
500500 Jardim,15
500520 Ladário,8
500525 Laguna Carapã,2
500540 Maracaju,8
500560 Miranda,10
500568 Mundo Novo,6
500570 Naviraí,32
500600 Nova Alvorada do Sul,4
500620 Nova Andradina,11
500630 Paranaíba,20
500635 Paranhos,10
500640 Pedro Gomes,1
500660 Ponta Porã,21
500690 Porto Murtinho,11
500710 Ribas do Rio Pardo,7
500720 Rio Brilhante,9
500740 Rio Verde de Mato Grosso,6
500750 Rochedo,2
500769 São Gabriel do Oeste,5
500770 Sete Quedas,6
500790 Sidrolândia,3
500793 Sonora,8
500795 Tacuru,5
500800 Terenos,6
500830 Três Lagoas,43
500840 Vicentina,2
510020 Água Boa,13
510025 Alta Floresta,17
510040 Alto Garças,1
510050 Alto Paraguai,1
510060 Alto Taquari,1
510080 Apiacás,4
510100 Araguaiana,1
510125 Araputanga,5
510140 Aripuanã,1
510160 Barão de Melgaço,1
510170 Barra do Bugres,8
510180 Barra do Garças,23
510185 Bom Jesus do Araguaia,1
510190 Brasnorte,1
510250 Cáceres,42
510260 Campinápolis,138
510263 Campo Novo do Parecis,12
510267 Campo Verde,5
510268 Campos de Júlio,2
510269 Canabrava do Norte,1
510270 Canarana,8
510285 Castanheira,4
510300 Chapada dos Guimarães,5
510305 Cláudia,1
510320 Colíder,25
510325 Colniza,1
510330 Comodoro,3
510335 Confresa,6
510340 Cuiabá,527
510343 Curvelândia,2
510350 Diamantino,3
510360 Dom Aquino,4
510380 Figueirópolis D'Oeste,1
510385 Gaúcha do Norte,1
510410 Guarantã do Norte,7
510452 Ipiranga do Norte,1
510455 Itaúba,1
510480 Jaciara,3
510490 Jangada,1
510500 Jauru,3
510510 Juara,7
510515 Juína,13
510517 Juruena,2
510520 Juscimeira,1
510523 Lambari D'Oeste,1
510525 Lucas do Rio Verde,13
510558 Marcelândia,4
510560 Matupá,3
510562 Mirassol d'Oeste,8
510600 Nortelândia,2
510610 Nossa Senhora do Livramento,3
510615 Nova Bandeirantes,5
510621 Nova Canaã do Norte,2
510618 Nova Lacerda,7
510890 Nova Maringá,1
510622 Nova Mutum,13
510617 Nova Nazaré,2
510623 Nova Olímpia,2
510624 Nova Ubiratã,2
510625 Nova Xavantina,4
510626 Novo Mundo,6
510628 Novo São Joaquim,1
510629 Paranaíta,2
510630 Paranatinga,7
510637 Pedra Preta,3
510642 Peixoto de Azevedo,27
510650 Poconé,14
510665 Pontal do Araguaia,1
510670 Ponte Branca,1
510675 Pontes e Lacerda,29
510682 Porto Esperidião,2
510700 Poxoréo,5
510704 Primavera do Leste,11
510706 Querência,2
510718 Ribeirão Cascalheira,1
510760 Rondonópolis,106
510770 Rosário Oeste,4
510724 Santa Carmem,1
510774 Santa Cruz do Xingu,2
510776 Santa Rita do Trivelato,1
510777 Santa Terezinha,9
510780 Santo Antônio do Leverger,4
510785 São Félix do Araguaia,3
510729 São José do Povo,2
510730 São José do Rio Claro,4
510735 São José do Xingu,1
510710 São José dos Quatro Marcos,4
510740 São Pedro da Cipa,3
510787 Sapezal,1
510790 Sinop,30
510792 Sorriso,19
510794 Tabaporã,1
510795 Tangará da Serra,20
510800 Tapurah,2
510805 Terra Nova do Norte,2
510840 Várzea Grande,178
510850 Vera,1
510550 Vila Bela da Santíssima Trindade,6
510860 Vila Rica,3
520010 Abadiânia,1
520013 Acreúna,1
520025 Águas Lindas de Goiás,11
520030 Alexânia,3
520060 Alto Paraíso de Goiás,1
520110 Anápolis,60
520140 Aparecida de Goiânia,152
520145 Aparecida do Rio Doce,1
520170 Aragarças,13
520180 Aragoiânia,3
520250 Aruanã,2
520280 Avelinópolis,2
520330 Bela Vista de Goiás,8
520340 Bom Jardim de Goiás,1
520350 Bom Jesus de Goiás,2
520355 Bonfinópolis,1
520400 Cabeceiras,2
520425 Cachoeira Dourada,3
520430 Caçu,1
520440 Caiapônia,1
520450 Caldas Novas,3
520465 Campinaçu,1
520470 Campinorte,1
520490 Campos Belos,4
520505 Castelândia,1
520510 Catalão,9
520540 Ceres,3
520549 Cidade Ocidental,4
520620 Cristalina,5
520640 Crixás,3
520660 Cumari,1
520710 Diorama,6
520830 Divinópolis de Goiás,1
520725 Doverlândia,1
520735 Edealina,1
520740 Edéia,1
520753 Faina,2
520800 Formosa,12
520810 Formoso,1
520840 Goianápolis,1
520860 Goianésia,11
520870 Goiânia,413
520880 Goianira,7
520890 Goiás,3
520910 Goiatuba,4
520915 Gouvelândia,1
520940 Guarani de Goiás,1
520970 Hidrolândia,4
520990 Iaciara,3
520995 Indiara,3
521000 Inhumas,2
521010 Ipameri,1
521020 Iporá,6
521040 Itaberaí,4
521056 Itaguari,2
521090 Itapaci,2
521120 Itapuranga,3
521150 Itumbiara,11
521170 Jandaia,1
521180 Jaraguá,2
521190 Jataí,12
521220 Jussara,3
521250 Luziânia,14
521280 Mara Rosa,2
521295 Matrinchã,2
521300 Maurilândia,3
521308 Minaçu,1
521310 Mineiros,6
521370 Montes Claros de Goiás,1
521375 Montividiu,1
521380 Morrinhos,3
521400 Mozarlândia,2
521405 Mundo Novo,1
521410 Mutunópolis,1
521440 Nazário,1
521450 Nerópolis,2
521460 Niquelândia,7
521483 Nova Crixás,1
521500 Nova Veneza,1
521523 Novo Gama,4
521560 Padre Bernardo,7
521570 Palmeiras de Goiás,1
521580 Palmelo,1
521590 Palminópolis,1
521630 Paranaiguara,2
521640 Paraúna,1
521710 Piracanjuba,4
521720 Piranhas,2
521730 Pirenópolis,2
521740 Pires do Rio,1
521760 Planaltina,9
521770 Pontalina,2
521800 Porangatu,9
521810 Portelândia,2
521830 Posse,4
521850 Quirinópolis,5
521860 Rialma,1
521880 Rio Verde,19
521900 Sanclerlândia,1
521925 Santa Fé de Goiás,1
521930 Santa Helena de Goiás,2
521935 Santa Isabel,1
521940 Santa Rita do Araguaia,2
521970 Santa Terezinha de Goiás,1
521975 Santo Antônio do Descoberto,1
522010 São Luís de Montes Belos,3
522020 São Miguel do Araguaia,5
522040 São Simão,2
522045 Senador Canedo,12
522060 Silvânia,1
522068 Simolândia,1
522140 Trindade,20
522150 Turvânia,1
522155 Turvelândia,1
522160 Uruaçu,8
522170 Uruana,1
522185 Valparaíso de Goiás,8
522205 Vicentinópolis,1
530010 Brasília,460
